match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,actual,score,played
1,A,Mexico,South Africa,72.9,18.2,8.9,,,,H,2-0,1
2,A,South Korea,Czechia,42.8,28.5,28.6,,,,H,2-1,1
3,B,Canada,Bosnia & Herzegovina,56.6,25.2,18.1,,,,D,1-1,1
4,D,United States,Paraguay,56.9,25.1,18.0,,,,H,4-1,1
5,B,Qatar,Switzerland,8.0,17.2,74.8,,,,D,1-1,1
6,C,Brazil,Morocco,45.5,28.1,26.4,,,,D,1-1,1
7,C,Haiti,Scotland,16.1,24.1,59.8,,,,A,0-1,1
8,D,Australia,Türkiye,34.9,29.1,36.0,,,,H,2-0,1
9,E,Germany,Curaçao,83.6,12.0,4.4,,,,H,7-1,1
10,F,Netherlands,Japan,43.1,28.5,28.4,,,,D,2-2,1
11,E,Côte d'Ivoire,Ecuador,22.7,27.1,50.1,,,,H,1-0,1
12,F,Sweden,Tunisia,48.3,27.6,24.2,,,,H,5-1,1
13,H,Spain,Cabo Verde,91.1,6.9,1.9,90.9,6.9,2.3,D,0-0,1
14,G,Belgium,Egypt,43.8,28.4,27.8,7.0,90.6,2.4,D,1-1,1
15,H,Saudi Arabia,Uruguay,16.8,24.5,58.7,10.8,21.4,67.7,D,1-1,1
16,G,Iran,New Zealand,63.6,22.6,13.8,54.4,27.1,18.5,D,2-2,1
17,I,France,Senegal,64.4,22.2,13.4,66.3,21.3,12.5,H,3-1,1
18,I,Iraq,Norway,8.4,17.6,73.9,5.4,12.6,82.0,A,1-4,1
19,J,Argentina,Algeria,71.6,18.8,9.6,70.3,20.0,9.7,H,3-0,1
20,J,Austria,Jordan,55.5,25.6,18.9,72.9,17.2,9.9,H,3-1,1
21,K,Portugal,DR Congo,62.2,23.2,14.7,76.0,16.7,7.3,D,1-1,1
22,L,England,Croatia,50.4,27.1,22.5,,,,H,4-2,1
23,L,Ghana,Panama,48.9,27.4,23.6,40.8,30.1,29.1,H,1-0,1
24,K,Uzbekistan,Colombia,7.3,16.3,76.4,9.5,19.6,71.0,A,1-3,1
25,A,Czechia,South Africa,52.3,26.5,21.1,51.8,26.6,21.6,D,1-1,1
26,B,Switzerland,Bosnia & Herzegovina,67.3,20.9,11.7,62.1,23.2,14.7,H,4-1,1
27,B,Canada,Qatar,64.9,22.0,13.1,76.2,16.2,7.7,H,6-0,1
